description,source
ignorefile/includefile matching .gitignore spec,bottom
Dot-path based JavaScript object template compiler.,bottom
Download email attachments via IMAP,bottom
A HTTP Protocol Adapter for Droonga,bottom
Returns a an array of the items in coll starting from the first item for which pred(item) returns null/undefined.,bottom
Fetch the access token of your Dropbox Platform app from the command line,bottom
Test double for Dropbox API,bottom
Digital signature tools.,bottom
Command-line tool to view the dependency tree of any module. ,bottom
Loader middleware for dustjs,bottom
A collection of converter functions to get good old JavaScript key/value objects into a DynamoDB friendly schema and back again.,bottom
CipherSet 3a for telehash,bottom
edp bcs command,bottom
Easy browsing of Open edX Modulestores,bottom
Node library for Adafruit 8x8 LED Matrix,bottom
Obfuscates e-mail addresses with x's,bottom
Plugin for ember-cli-admin that adds multiple languages properties support,bottom
Ember CLI array slice addon,bottom
Transpiler your ember-cli .jsx files into js,bottom
Ember addon for DropKick.js,bottom
An Ember Addon for PDFJS,bottom
Control Emic2 TTS module,bottom
"A lightweight, isomorphic event emitter",bottom
Browserify tech for ENB,bottom
y-i18n routines,bottom
Be compatible with http://engine-light.codeforamerica.org/,bottom
📺 Retrieve episode information from a filename,bottom
Epochtalk Forum Software Core Library,bottom
Streamlined errors with descriptive error messages through metadata and error codes,bottom
include `#include` extend-script file to standalone executable extend-script,bottom
Universal Starter Kit to build any javascript ES6 project/library runnable in nodejs and on any browser.,bottom
ESB nodejs driver,bottom
A secure distributed event layer for nodejs applications,bottom
A Node module to assist with pulling data out of an ESRI ArcGIS REST server into GeoJSON.,bottom
NPM package to write Gnip records to an ArcGIS Feature Service.,bottom
tap(tape) wrapper for testing adobe extendscript,bottom
server-side EventSource,bottom
Developers Excuses,bottom
A pluggable async cache for Node.JS,bottom
"Handler for Express 4 application, which allows to perform batch requests.",bottom
A simple Express middleware to start and stop the server.,bottom
access logger middleware using fluentd for express.js,bottom
Express + ORM MVC,bottom
Add a qrcode image on page on ExpressJS using Google Charts.,bottom
Logwrangler middleware for express,bottom
"Extract gettext strings from __('literal') and __n('single', 'plural', n ) functions in any source",bottom
Dead simple library for functional and reactive programming in JavaScript,bottom
A fastft posts client for the browser or node.js,bottom
Fauxton is the new Web UI for CouchDB,bottom
Slim and simple client for Facebook Graph API v2.* implemented with promises,bottom
Fritbot Slack Connector,bottom
FileBufferReader is a JavaScript library reads file and returns chunkified array-buffers. The resulting buffers can be shared using WebRTC data channels or socket.io.,bottom
Ensures polite outgoing HTTP requests that respects robots.txt and aren't made too close to each other,bottom
quickly create an in memory index of files and their content,bottom
指定一组目录，依次搜索指定文件（相对路径），返回其绝对文件路径，支持同步和异步方法,bottom
,bottom
File to base64 using FileReader,bottom
Fist plugin to help to do serial executions,bottom
JSON Fling is a simple JSON-RPC framework for NodeJS with built-in permissions and support for different transports.,bottom
Feature flipping and configuration using yaml files.,bottom
is a visual editor for Dataflow programming,bottom
Fluent validation for node.js,bottom
Build React/Flux app that runs seamlessly on both server side and client side,bottom
AutoBind plugin for Fluxxor to help prevent spaghetti props wiring.,bottom
Font to vector path tools,bottom
,bottom
Light wrapper around Node.js url.format() to make life a little easier,bottom
Javascript wrapper for FRED (Federal Reserve Economic Database) API,bottom
Base stream class for FreeLoader modules,bottom
Fritbot: The Angriest Bot,bottom
Freeze an Express.js application into a set of static files,bottom
:strawberry: A Node.JS ORM for both SQL and NoSQL databases,bottom
Convert javascript state machine to UML diagram,bottom
Generate RFC conforming strings for an FTP server connection.,bottom
Find Firefox OS simulators in your Firefox path in NodeJS/CLI,bottom
Google Async Analytics using LocalStorage,bottom
frame view for loading UI into a gaffa application,bottom
,bottom
,bottom
A Garðr plugin for Burt,bottom
Gardr plugin to resize container to content size,bottom
NodeJS GCM test command line interface to test gcm on your android application,bottom
A node gitlab-ci-runner,bottom
Gearman job persistence and delayed execution system,bottom
A GEDCOM-X Date Library for Javascript,bottom
npm package for appsngen web widget generator ,bottom
"Ultra fast fullstack angular generator, using gulp.",bottom
Yeoman generator for java library,bottom
Generator for meshblu connectors,bottom
Yeoman generator for NPM modules,bottom
"A Yeoman Generator for facebook's React library. It includes gulp, browserify, livereload and famous official Twitter bootstrap Sass version",bottom
A Yeoman generator to create a readme file,bottom
Functions to work with JavaScript generators.,bottom
Yeoman generator for video.js plugins.,bottom
High performance library for geographical map-related operations,bottom
Transform a geoJSON MultiPolygon or Polygon into a list of geohashes that form it.,bottom
,bottom
Generate a plain-english summary of what is in a GeoJSON file.,bottom
Get all JS files within a directory. A simple wrapper of node-dir.,bottom
Yii 1/2 Packages command Node.js wrapper,bottom
Export Ghost blog entries as Markdown files,bottom
Render static blog sites from Markdown using Ghost themes,bottom
A node library to interact with the GitHub users API,bottom
Gitbook GrViz plugin is used to select from markdown dot and converting it into a picture format svg.,bottom
GitBook plugin : Transform comments to notes,bottom
GitBook Dictionary Plugin,bottom
,bottom
Piwik plugin for Gitbook,bottom
NPM module for Github Jobs API,bottom
Give me a repo I'll give you the languages its written in,bottom
,bottom
Git hook to convert your TODOs into Github issues,bottom
ensure grep-able lines are present in your local .gitignore file,bottom
Image gallery with mobile/touch support and no dependencies.,bottom
Stream-based wrapper for the League of Legends API,bottom
Access http://www.go.cd API via nodeJS,bottom
GoodsCloud API client in JavaScript for Node.js,bottom
Create google alerts from node.,bottom
access bucket data from google cloud storage as a stream from node or on the cli,bottom
Google Web Fonts downloader,bottom
Node/Meteor wrapper for googlefonts API.,bottom
Distributes work to local and/or remote agents,bottom
,bottom
,bottom
Grunt task for generating API documentation pages,bottom
A Grunt task for generating a static blog,bottom
Compile Caveman templates using Grunt.,bottom
Grunt plugin for accessing the CrowdIn.net API,bottom
Grunt plugin that renames a file with date suffix.,bottom
Grunt plugin for linting html using vnu.jar,bottom
:page_with_curl: Reporter tool to create different output formats for reports jscpd.,bottom
Grunt bookshelf sync task.,bottom
Grunt wrapper for MetaScript preprocessor,bottom
Manage the neo4j binary via grunt,bottom
Create single executable file by grunt,bottom
Grunt bindings for npm,bottom
"Plugin for Grunt, which compiles Slm to HTML",bottom
stylus-base-files is a node module for substituting list of base Stylus files to stylus tasks,bottom
A template for grunt-contrib-jasmine to permit unit-testing of AMD Dojo code.,bottom
Grunt plugin for building ThorJS in other patterns,bottom
Run xUnit tests using Grunt,bottom
,bottom
replace refs in .css and .js file to cdn powered links,bottom
Gulp coverage reporting for Node.js that is independent of the test runner,bottom
Compile doTjs with gulp (gulpjs.com),bottom
Transpile ES6 modules to CommonJS with es6-module-jstransform.,bottom
Turn code examples into testcases.,bottom
Configurable dynamic install framework Bower dependencies,bottom
Gulp plugin for the Haskell to JS compiler,bottom
Mock plugin base on gulp.,bottom
perforce plugin for gulp,bottom
Provide connect-server functionality,bottom
Gulp plugin to log number of source lines of code,bottom
Define a build asset to use in an HTML comment block.,bottom
Dragables extension for Hammer.js,bottom
"Make promise to have support for callback API, it returns promise in that same time.",bottom
Generator based handlebars style streaming templates.,bottom
Transform Bookshelf errors into proper Boom HTTP error responses,bottom
Convert hapi boom errors into jsend responses,bottom
Hapi Bearer and JWT Authentication ,bottom
[DEPRECATED] Hapi.js plugin to validate multipart/form-data file contents,bottom
Hapi plugin for passing monit health checks,bottom
,bottom
Hapi route directory ,bottom
Simplify your DFP business logic.,bottom
"Deep-search objects for keys in JavaScript objects. Keys can be searched by providing an array of keys, or using a dot-notiation.",bottom
NodeJS Express API Library that auto documents itself and provides additional validation,bottom
Haml-like syntax transpiler for Ember HTMLBars templates,bottom
openssl Heartbleed bug(CVE-2014-0160) check for Node.js ,bottom
proxy middleware to the Heroku API for express,bottom
A library for generating vector paths for drawing the Hershey single-line font,bottom
miliseconds from frequency (1000/n),bottom
:recycle: Migrate your posts from Joomla to Hexo,bottom
Haml renderer for Hexo.,bottom
A really simple project scaffolding tool,bottom
html 5 tokenizer,bottom
Encode any IP address as a haiku,bottom
Http Mock Tool,bottom
Hogan template adapter for Brisket,bottom
Error: 404,bottom
Memory restricted hot path cache,bottom
Pluggable HTML Pipeline,bottom
Knockout Templates for Node.js,bottom
,bottom
Build HTTP request message from an object model,bottom
Wrapped `verror` with HTTP status code for Express.js,bottom
Bytes to Human bytes ,bottom
Utility for using SVG images as icons on the web with pure CSS and/or DOM injection,bottom
ifconfig text parser,bottom
,bottom
Bidirectional method calls API between external and iframed code.,bottom
ify's stuff,bottom
Image Manipulation within browser,bottom
A React component for responsive images in desktop and mobile browsers. Featuring Imager.js.,bottom
"Node.js based image server with type validation, image resizing, file cache, Uniform Resource Identifier generation and also support https.",bottom
"IMAP Server, NodeJS (based on https://github.com/andris9/hoodiecrow). As a better solution, please, see on https://github.com/wildduck-email/wildduck",bottom
Promisified googleapis with easy access to jwt tokens,bottom
Mock IndexedDB database for testing,bottom
Infer a name from an email address,bottom
Injectify marionette view into Handlebars template,bottom
This is an in memory store used by innkeeper,bottom
Faster npm installs via caching whole node_module dir,bottom
ioBroker controller,bottom
"Create all required icons from one icon. Right size, right file name.",bottom
"Generate all required splash screen images from one source. Right size, right file name.",bottom
Open input and output streams given providers and small config,bottom
ipod,bottom
[DEPRECATED] Purple isn't real,bottom
Check if it's a ES keyword.,bottom
Determine if a host is a localhost,bottom
Check whether a value is a writable stream,bottom
Error: 404,bottom
test if something is an es6 module,bottom
An HTTP request library that enables isomorphic applications.,bottom
issue tracking in hand,bottom
itbit API client for node.js,bottom
This module supplies mutual IVS conversion between Adobe-Japan and Hanyo-denshi(Moji_Joho),bottom
"A Plugin for Jasmine, to enable jsonpath(http://goessner.net/articles/JsonPath/) in matchers",bottom
A set of matchers to assert a spy was called n times,bottom
Create Jekyll Front Matter from single markdown contents.,bottom
Jenny tells a remote server whats happening with your MySensors connected via a serial port,bottom
A Browserify transform for Jison parsers.,bottom
SQL-like queries on JSON files,bottom
Generate a Joi schema from some JSON or a JS object,bottom
Simple and fast number input masks,bottom
Plugable Node.js job queue based on the Beanstalk Job Lifecycle,bottom
Reusable JS abstractions,bottom
A very easy-to-use web scrapper,bottom
A delta debugger for JavaScript,bottom
Tool to auto document ECMAScript (Java Script) in JSDoc 3 using Esprima.js.,bottom
A reporter for gulp-jshint which produces a report compatible with Atlassian Bamboo Mocha Test Parser,bottom
levelup's createReadStream for a dir of json files,bottom
Define REST client easily in nodejs,bottom
An AngularJS directive for rendering JSON Schema in HTML,bottom
Data silo for digital twins in context-aware physical spaces.  We believe in an open Internet of Things.,bottom
Use JSON to list all elements (with css 3 and jquery selector) that you want to crawl.,bottom
JSOS reusable utilities with minimal dependencies.,bottom
run bash scripts when you get a push event from a github webhook,bottom
JXT definitions for Atom posts,bottom
A humane service status API module to expose any operational/internals of any Node.js based microservice. JSON format over HTTP protocol.,bottom
A quick an dirty karma reporter that integrates with bamboo via https://marketplace.atlassian.com/plugins/com.atlassian.bamboo.plugins.bamboo-nodejs-plugin,bottom
chai-factories plugin for karma,bottom
chai-js-factories plugin for karma,bottom
A gzip preprocessor and plugin for Karma,bottom
Cucumber like api for BDD styles tests using jasmine and cucumber,bottom
A Karma plugin. Compile Lo-Dash templates on the fly.,bottom
Scans HTML-based server side template files for AngularJS templates and converts them to JS for use in unit tests,bottom
Nunjucks for Karma,bottom
Multi-Suite runner plugin for Karma,bottom
"Ketch helps you execute, one way or another",bottom
Remaps a values from an object to specified keys,bottom
Define states with values and kimi will drive between the states,bottom
"create a periodical .mobi, with kindlegen",bottom
HTTP/2 static server,bottom
JavaScript Numeric Math Utilities,bottom
Knuth Morris Pratt algroithm in js,bottom
"A schema builder module for knex.js, handles schema initialization and migration",bottom
else/elseif for Knockout,bottom
A decentralized Nodejs workflow tool used to manage software on any server.,bottom
Koa middleware for barista routing component,bottom
Nunjunks rendering middleware for koa,bottom
😈 Kill processes occupying a given port,bottom
Functionally handle promises,bottom
Automatically execute a file in a known programming language using node,bottom
Automatically spawns a file in a known programming language using node,bottom
Execute a file in any programming language using node,bottom
Spawn a file process in any programming language using node,bottom
bootstrap lark by pm2,bottom
lark.js log module ,bottom
router for lark,bottom
lark views module,bottom
A step by step guide to building your own internet controllable laser turret and cat dazzler...,bottom
A (very) simple latex file watcher to auto-compile tex files.,bottom
:open_file_folder: A minimalist module for loading API resources when they are used.,bottom
lcd i2c interface for nodejs on raspberry pi,bottom
A Leaflet Plugin that renders Mapbox Vector Tiles on HTML5 Canvas.,bottom
Display arbitrary GeoJSON on a map with a timeline slider and play button,bottom
Example LED fonts to be used with https://github.com/marionebl/led-canvas.,bottom
client cmd of lego,bottom
对注册的一系列express路由进行排序，避免冲突,bottom
Method chaining for the canvas 2d api,bottom
Arduino boards leo build platform.,bottom
The module to init LESS-compilation,bottom
"Simple stream interface for node-less, supporting sourcemaps and global/modify vars",bottom
LevelUP with some useful plugins and wrapped to get a leveldb database up and started quickly.,bottom
Read random levelup values,bottom
:bar_chart::zzz: A REST adapter for LevelUP,bottom
,bottom
generate a opensouce license with interactive dialog,bottom
Get line length of a string,bottom
"Node.js ""require"" your local config file easily from anywhere in your project without having to navigate directories.",bottom
Simple logger that add some colors to node's default console,bottom
Retrieve logs from logentries.com. Unofficial.,bottom
Logging lib for node,bottom
Loglog server data source for mongodb,bottom
Simple API for getting metadata from locally installed npm packages (in `node_modules`).,bottom
Kafka connector for loopback-datasource-juggler.,bottom
cluster aware lru-cache for node,bottom
Filesystem utils,bottom
"This node module downloads a m3u8 playlist into a specified local directory, with all its media segments",bottom
🐟 M4 macro processor in pure Javascript,bottom
